Title,Score,Splits,Platform,Finished,Comments
The Elder Scrolls V: Skyrim,19,5/5/5/4,PC,Y,
Portal,19,5/4/5/5,Xbox 360,True,
Red Dead Redemption II,19,5/4/5/5,Xbox One,Y,
Dark Souls: III,18,4/4/5/5,PC,Y,
Elden Ring,18,5/4/5/4,PC,Y,
Portal 2,18,4/4/5/5,PC,Y,
Sekiro: Shadows Die Twice,18,5/4/5/4,PC,Y,
Subnautica,18,5/5/5/3,PC,Y,
Borderlands 2,17,5/4/4/4,PC,TRUE,
Horizon Zero Dawn,16,4/4/4/4,PC,TRUE,
Minecraft,16,5/4/4/3,PC,,
Superliminal,16,5/4/4/3,PC,TRUE,
The Witcher 3: Wild Hunt,17,5/3/4/5,PC,Y,
World of Warcraft,17,4/3/5/5,PC,,
Beat Saber,16,4/3/5/4,VR,Y,
DEATHLOOP,16,5/4/4/3,PC,TRUE,
Left 4 Dead 2,16,2/4/5/5,Xbox 360,,
Phasmophobia,15,3/3/4/5,PC,,
Stray,14,3/3/5/3,PC,True,
Teardown,16,4/4/5/3,PC,Y,
Valheim,16,5/4/4/3,PC,TRUE,
Bioshock,15,3/3/5/4,PC,Y,
BONEWORKS,15,3/4/5/3,VR,TRUE,"Great physics, weird story, super satisfying to use the w
eapons in this game."
Borderlands,15,4/3/3/5,Xbox 360,Y,
Darksiders: Warmastered Edition,15,3/3/4/5,Xbox 360,Y,
The Forest,16,5/3/5/3,PC,True,
Half-Life,15,3/3/5/4,PC,Y,
Left 4 Dead,15,3/2/5/5,Xbox 360,,
Maneater,15,4/3/5/3,PC,Y,
No Man's Sky,15,4/2/5/4,PC,,
Assassin's Creed III,14,4/3/5/2,Xbox 360,TRUE,"Only Assassin's Creed game I've played. Loved the colle
ctables and the combat."
Castle Crashers,14,3/2/4/5,Xbox 360,Y,
Far Cry 3,14,4/3/5/2,Xbox 360,Y,
God of War,15,5/2/4/4,PC,True,
Halo Reach,14,4/3/2/5,Xbox 360,,
Keep Talking and Nobody Explodes,14,3/2/4/5,VR,,
Kirby Air Ride,14,3/2/4/5,Gamecube,,
League of Legends,14,4/2/3/5,PC,,
Overwatch,14,4/2/3/5,PC,,
Spore,14,4/3/5/2,PC,Y,
Star Fox: Assault,14,3/2/4/5,Gamecube,,
Subnautica Below Zero,14,4/3/4/3,PC,Y,
Team Fortress 2,14,4/3/2/5,PC,,
BattleBlock Theater,13,2/2/4/5,Xbox 360,N,
Call of Duty: Black Ops II,13,3/3/2/5,Xbox 360,,
Garry's Mod,13,1/3/4/5,PC,,
Godzilla: Destroy All Monsters Melee,13,2/2/4/5,Gamecube,,
Halo: Infinite Multiplayer,13,3/3/2/5,PC,,
Mirror's Edge,13,4/2/4/3,PC,Y,
Super Monkey Ball 2,13,2/2/4/5,Gamecube,,
Among Us,12,2/2/3/5,PC,,sussy
Back 4 Blood,12,4/1/2/5,PC,,
The Binding of Isaac,12,2/3/4/3,PC,,
Borderlands 3,14,4/4/2/4,PC,True,
Dead By Daylight,12,2/2/5/3,PC,,
Digimon World 4,12,2/2/4/4,PS2,Y,
Sonic Adventure 2: Battle,12,3/3/2/4,Gamecube,Y,
Tron: Evolution,12,3/2/5/2,Xbox 360,,
Ancestors: The Humankind Odyssey,11,2/1/5/3,PC,FALSE,"Too repetitive, gameplay not satisfying"
Crackdown,11,4/2/4/1,Xbox 360,Y,
Crackdown 2,11,3/3/4/1,Xbox 360,Y,
Donkey Kong Jungle Beat,11,1/2/5/3,Gamecube,Y,
Guitar Hero III: Legends of Rock,11,3/2/4/2,Wii,,
Half-Life 2,11,2/3/4/2,PC,Y,
Half-Life 2: Episode One,11,2/3/4/2,PC,Y,
Half-Life 2: Episode Two,11,2/3/4/2,PC,Y,
Mario Kart Double Dash!!,11,1/2/4/4,Gamecube,,
Ruined King,11,1/2/4/4,PC,N,
Rust,11,3/1/3/4,PC,,
Sonic: Unleashed,11,1/2/4/4,Wii,Y,
Surgeon Simulator,11,2/2/5/2,PC,Y,
Turnip Boy Commits Tax Evasion,11,2/3/4/2,PC,Y,
Borderlands: The Pre-Sequel,10,2/3/3/2,PC,Y,
The Stanley Parable,10,2/2/4/2,PC,N,
The Talos Principle,10,3/1/4/2,PC,N,
Battlefield 4,9,1/3/1/4,PC,N,
Call of Duty MW3,9,1/2/3/3,Xbox 360,,
Counter-Strike Global Offensive,9,1/2/3/3,PC,,
Goat Simulator,9,1/3/3/2,PC,,
Soulcalibur IV,9,1/2/3/3,Xbox 360,,
Watch_Dogs,9,2/1/4/2,PC,N,
Getting Over It with Bennett Foddy,8,1/2/4/1,PC,N,
Mirror's Edge Catalyst,8,2/2/3/1,PC,N,
Sea of Thieves,8,1/1/3/3,PC,,
Unturned,8,2/1/2/3,PC,,
Slender: The Arrival,7,1/2/2/2,PC,N,
Stranded Deep,7,2/1/3/1,PC,Y,
Star Wars: Jedi-Fallen Order,12,3/3/4/2,PC,TRUE,"Combat was fun, couple unfun roadblocks on the hardes
t difficulty though. Enjoyed the metroidvania aspect. Did
 not care for the ending."
Fallout: New Vegas,6,1/1/2/2,PC,FALSE,dogshit
Amnesia: The Dark Descent,12,2/2/4/4,PC,TRUE,Spooky
Darksiders II: Deathinitive Edition,14,3/2/4/5,PC,TRUE,Good memories
Hollow Knight,15,3/4/4/4,PC,TRUE,banger soundtrack
Bloodborne,12,2/2/4/4,PC,TRUE,"Lots of unfun areas and enemies, no respecing, bosses
 were okay, not super difficult."
God of War: Ragnarök,16,3/3/5/5,PS5,TRUE,"I liked the changes to the combat and fast travel systems, it  
made the gameplay less tedious. The boss fights were 
underwhelming and it felt much shorter than GOW
(2018)."
Ghost of Tsushima,18,4/4/5/5,PS5,TRUE,"Most beautiful game I've ever played. I enjoyed the boss  
fights, exploration, and progression. Collectibles were 
okay and there were some clunky game mechanics like
jumping and falling. Enjoying the multiplayer so far."
The Last of Us: Part I,15,3/3/4/5,PS5,True,
Super Smash Bros Brawl,15,3/4/3/5,Wii,True,
